feature,mean_abs_shap,mean_signed_shap
age,0.03474645427458859,0.03228614926020893
skin_cancer_history_UNK,0.014034163385585087,0.013539146189116297
grew_False,0.013381164728963975,0.013381164728963975
pesticide_UNK,0.011280217319756704,0.011280217319756704
has_sewage_system_UNK,0.01088410894839758,0.01088410894839758
drink_False,0.009010824414447787,0.0077916825241313
has_sewage_system_True,0.006744783070589142,0.006441008630756685
elevation_False,0.0062124710670900295,0.0062124710670900295
hurt_True,0.006087669569637219,0.006087669569637219
elevation_True,0.005792604987009156,0.005792604987009156
cancer_history_UNK,0.0056849094055875906,0.0056849094055875906
itch_True,0.005399859072660234,0.004040348751307811
changed_True,0.005181909839784671,0.005181909839784671
skin_cancer_history_True,0.00508124467693306,0.00508124467693306
region_FOREARM,0.0050733755306804585,0.0050733755306804585
has_piped_water_False,0.004908845917342839,0.004908845917342839
gender_UNK,0.004754304544986867,0.004754304544986867
itch_False,0.004681531684527433,0.004681531684527433
has_piped_water_UNK,0.004601561406236992,0.004601561406236992
bleed_False,0.004539010494994653,0.004539010494994653
region_NECK,0.004337110243701945,0.004337110243701945
changed_UNK,0.003958481833804152,0.003958481833804152
background_mother_UNK,0.003945249155309511,0.003945249155309511
cancer_history_True,0.003832140462149754,0.003832140462149754
itch_UNK,0.0036479304561967416,0.0036479304561967416
grew_True,0.0036256182271243863,0.0036256182271243863
background_father_ITALY,0.0034033483380026272,0.0034033483380026272
background_father_POMERANIA,0.003249334437016616,0.003249334437016616
fitspatrick,0.003190563835413465,0.003190563835413465
background_mother_PORTUGAL,0.003143545382472292,0.003143545382472292
background_mother_NORWAY,0.003136472346778392,0.003136472346778392
skin_cancer_history_False,0.0029664318825102696,-0.002577274186698406
diameter_1,0.002930021467924565,0.002930021467924565
smoke_UNK,0.00278489041812693,0.00278489041812693
has_piped_water_True,0.0027548180237339137,0.0027548180237339137
background_father_GERMANY,0.0025865221979868708,0.0025865221979868708
drink_True,0.0024285617555780304,0.0024285617555780304
hurt_False,0.0023126108855707163,0.0023126108855707163
diameter_2,0.0022052111657353307,0.0022052111657353307
grew_UNK,0.002094550737300316,0.002094550737300316
background_father_UNK,0.002013308990332606,0.002013308990332606
gender_FEMALE,0.001967017961457168,0.001967017961457168
background_mother_POMERANIA,0.001919911078115926,0.001919911078115926
background_mother_BRAZIL,0.0018284517572123055,0.0018284517572123055
background_mother_ITALY,0.001733522329428993,-4.2908019488923045e-05
pesticide_False,0.0017036446436418308,0.0007195777267504022
region_FACE,0.0016988310736756403,0.0016988310736756403
smoke_False,0.0016663831911909058,0.0016663831911909058
drink_UNK,0.0015125258375293343,0.0015125258375293343
smoke_True,0.001486893448584936,0.0003794950226666784
background_mother_GERMANY,0.0014663591432371476,0.0014663591432371476
changed_False,0.0013734486262919866,0.0013734486262919866
region_HAND,0.0013145164055795519,0.0013145164055795519
has_sewage_system_False,0.0012679536285981738,0.0012679536285981738
cancer_history_False,0.000694453708836734,0.000694453708836734
region_ARM,0.0006043442157726064,0.0006043442157726064
region_THIGH,0.000582824903453939,0.000582824903453939
gender_MALE,0.00045447265017460435,0.00045447265017460435
bleed_True,0.00032623025401119364,0.00032623025401119364
background_mother_NETHERLANDS,0.0003005865176964761,0.0003005865176964761
background_father_POLAND,0.0,0.0
background_father_NETHERLANDS,0.0,0.0
background_father_CZECH,0.0,0.0
background_father_ISRAEL,0.0,0.0
background_father_BRAZIL,0.0,0.0
background_father_BRASIL,0.0,0.0
background_father_AUSTRIA,0.0,0.0
pesticide_True,0.0,0.0
background_mother_FRANCE,0.0,0.0
background_mother_POLAND,0.0,0.0
background_father_SPAIN,0.0,0.0
background_father_PORTUGAL,0.0,0.0
background_mother_SPAIN,0.0,0.0
region_BACK,0.0,0.0
region_EAR,0.0,0.0
region_FOOT,0.0,0.0
region_SCALP,0.0,0.0
region_NOSE,0.0,0.0
region_LIP,0.0,0.0
region_ABDOMEN,0.0,0.0
region_CHEST,0.0,0.0
hurt_UNK,0.0,0.0
bleed_UNK,0.0,0.0
elevation_UNK,0.0,0.0
