class,feature,mean_abs_shap,n_samples
ACK,age,0.013045989430940281,5
ACK,fitspatrick,0.00873440388672096,5
ACK,diameter_1,0.0,5
ACK,diameter_2,0.0037846079908493272,5
ACK,smoke_False,0.0,5
ACK,smoke_True,0.0,5
ACK,smoke_UNK,0.0,5
ACK,drink_False,0.009465390290966835,5
ACK,drink_True,0.0,5
ACK,drink_UNK,0.0,5
ACK,background_father_AUSTRIA,0.0,5
ACK,background_father_BRASIL,0.0,5
ACK,background_father_BRAZIL,0.0,5
ACK,background_father_CZECH,0.0,5
ACK,background_father_GERMANY,0.008192135706462711,5
ACK,background_father_ISRAEL,0.0,5
ACK,background_father_ITALY,0.0,5
ACK,background_father_NETHERLANDS,0.0,5
ACK,background_father_POLAND,0.0,5
ACK,background_father_POMERANIA,0.01002373930988933,5
ACK,background_father_PORTUGAL,0.0,5
ACK,background_father_SPAIN,0.0,5
ACK,background_father_UNK,0.0,5
ACK,background_mother_BRAZIL,0.008015505475206231,5
ACK,background_mother_FRANCE,0.0,5
ACK,background_mother_GERMANY,0.002636160901509852,5
ACK,background_mother_ITALY,0.009212348009864722,5
ACK,background_mother_NETHERLANDS,0.0,5
ACK,background_mother_NORWAY,0.004770509647773705,5
ACK,background_mother_POLAND,0.0,5
ACK,background_mother_POMERANIA,0.0,5
ACK,background_mother_PORTUGAL,0.01097062844156357,5
ACK,background_mother_SPAIN,0.0,5
ACK,background_mother_UNK,0.0,5
ACK,pesticide_False,0.0,5
ACK,pesticide_True,0.0,5
ACK,pesticide_UNK,0.018490653571206134,5
ACK,gender_FEMALE,0.0,5
ACK,gender_MALE,0.0,5
ACK,gender_UNK,0.003250268982299498,5
ACK,skin_cancer_history_False,0.016631118207626028,5
ACK,skin_cancer_history_True,0.005554066004622367,5
ACK,skin_cancer_history_UNK,0.03450860495515089,5
ACK,cancer_history_False,0.0,5
ACK,cancer_history_True,0.0,5
ACK,cancer_history_UNK,0.004077788752773492,5
ACK,has_piped_water_False,0.003907575200134366,5
ACK,has_piped_water_True,0.013013823079125877,5
ACK,has_piped_water_UNK,0.021509925276103025,5
ACK,has_sewage_system_False,0.0,5
ACK,has_sewage_system_True,0.0,5
ACK,has_sewage_system_UNK,0.012657396877911706,5
ACK,region_ABDOMEN,0.0,5
ACK,region_ARM,0.0,5
ACK,region_BACK,0.0,5
ACK,region_CHEST,0.0,5
ACK,region_EAR,0.0,5
ACK,region_FACE,0.0028197233272379786,5
ACK,region_FOOT,0.0,5
ACK,region_FOREARM,0.0064288957708509035,5
ACK,region_HAND,0.0,5
ACK,region_LIP,0.0,5
ACK,region_NECK,0.0,5
ACK,region_NOSE,0.0,5
ACK,region_SCALP,0.0,5
ACK,region_THIGH,0.0,5
ACK,itch_False,0.003128990049659669,5
ACK,itch_True,0.0009018369225340953,5
ACK,itch_UNK,0.014583296302158988,5
ACK,grew_False,0.023279138617924022,5
ACK,grew_True,0.010406020322437232,5
ACK,grew_UNK,0.0031944710034677625,5
ACK,hurt_False,0.004866744616046432,5
ACK,hurt_True,0.0005534783450058709,5
ACK,hurt_UNK,0.0,5
ACK,changed_False,0.0013740725276976367,5
